Please state the name of the partner:,What sector does your partner belong to?,Please provide a brief description of the partnership.,Is this a new and unusual partner for UNDP?,iso3,country
"Civil society organizations working with renewable energy projects (Litro de Luz, 500Rpm, La Caja Verde, among others)",Civil Society,"We are establishing relationships with civil society organizations working with renewable energy projects in the territories. In some cases, we were able to map solutions with their help. We also talked to organizations that work on open hardware. 

Three of the organizations with which we worked were selected by the campaign “People Powered” (https://www.undp.org/acceleratorlabs/peoplepowered/solutions). These were “Litro de Luz”, “The Green Box”, and “500Rpm”. The first organization uses recycled plastic bottles and locally sourced materials to illuminate homes, businesses, and streets; The Green Box uses allelopathy to keep fruits and vegetables fresh, and 500 Rpm works on cheap wind turbines that can be built and replicated because they are open patent. 

We began to collaborate with an environmental organization called EcoHouse, which showed a great interest in the findings resulting from the mapping of solutions. That's why we have been in contact with them regarding the solutions, aiming to promote new opportunities for networking. Additionally, we will be presenting our findings in a diploma program on renewable energies at a national public university.  

Also, we have maintained preparatory meetings with EcoAndina, an organization based in the northern Andean region of Argentina. This organization aims at the developing of clean energy solutions mainly for the local communities. During these meetings with the EcoAndina team, we have assessed current practices and identified existing gaps related to the implementation of clean energy solutions. These conversations are part of the input we will use for the design of the energy experiment we plan to deploy next year",Yes,ARG,Argentina
Kota Kita Foundation,Civil Society,"Kota Kita Foundation is the main civil society partner of this project. Since the project's inception they have been closely involved in determining the project's scope, framework, and design. They are also tasked with organizing the field missions, establishing contact with local communities, and participating in the foresight workshops.",Yes,IDN,Indonesia
"Women led NGOs, shelters, gender activists",Civil Society,"Women led NGOs, shelters, gender activists involved in the workshops in regions while the future dynamics were being tested, as well as members of the National Experts’ Group (NEG) of this exercise.   ",No,UZB,Uzbekistan
Maafaru island council,Government (&amp;related),"For piloting the CI method, we partnered with Maafaru island council. We worked together onboarding participants, doing the mapping and developing the Disaster Management plan. Shared their existing data and provided resources like space for conducting workshops. ",No,MDV,Maldives
The Jordanian Red Crescent,Civil Society,The Jordanian Red Crescent worked on misinformation during the COVID-19 pandemic and we intend to explore potential partnership opportunities.  ,No,JOR,Jordan
UN agencies,United Nations, Through feedback and key informant interviews,No,KHM,Cambodia
The Ministry of Women Affair,Government (&amp;related),A joint study that will potentially be used to inform policy update.,No,KHM,Cambodia
"National Women Entrepreneur Council (NWEC), under the aegis of the Ministry of Gender Equality and Family Welfare.",Government (&amp;related),"The UNDP Accelerator Lab initiated this collaboration with the National Women Entrepreneur Council (NWEC) to mobilise women to become entrepreneurs in the green economy, particularly in building and running agri-enterprises. This collaboration put forward the expertise and experience of the NWEC as well as the National Women Council (NWC) and other stakeholders, to better prepare, coach and mentor women to develop their ideas into income-generating activities. This collaboration has allowed UNDP to co-design learning sessions with the NWEC and the NWC team to better support the skills and knowledge development of the council through structured and tailored interventions that focused on a human-centered design approach, leverage the UNDP Accelerator Lab methodologies and approach to future visioning and build the capacity of participants to use innovative tools in public sector delivery and public sector innovation.",No,MUS,Mauritius
"Political Psychology Laboratory, University of Indonesia",Academia,Two ICs were procured who were both members of the Political Psychology Laboratory of the University of Indonesia. One IC served as the Technical Expert on Social Conflict while the other was the Senior Specialist on Data Analysis.,Yes,IDN,Indonesia
Empatika,Civil Society,"Empatika was our partner in conducting this ethnographic research process. They were involved in the design of the research methods, particularly in ensuring that the data was collected in a participatory manner.",Yes,IDN,Indonesia
"Appear, Lab Ciudadano and others",Civil Society,"There are hundreds of civil society organizations mapped and actively taking part in the activities launched by the Argentine Ministry of Science, Technology, and Innovation (MINCYT).  and the AccLab. The AccLab has a very close relationship with the national citizen science ecosystem. Also, specifically, two of them oversaw the field work of the experiments Appear and Lab Ciudadano.",No,ARG,Argentina
"Sadosky Foundation, FUNDAR Foundation, DataGenero Foundation",Civil Society,"We are having interviews with members of civil society organizations that are currently approaching AI from different perspectives. Some are working in the field of bid data and computer sciences, such as Dr. Fernando Schapachnik, current director of Sadosky Foundation, and Dr. Daniel Yankelevich, director of the data area of FUNDAR Foundation. We have also been in contact with Dr. Luciana Benotti and Dr. Laura Alemany, members of ViaLibre Foundation, who are concerned with the ethical development of AI. Additionally, we have interviewed Ms. Ivanna Feldfeber, co-founder and executive officer of DataGenero, an organization approaching AI from a gender perspective; Juan Manuel Garcia, Research Coordinator of Derechos Digitales, an organization aimed at advancing human rights within digital contexts. From the interviews, we are drawing insights and indicators of patterns of development of AI.",Yes,ARG,Argentina
Commercial Banks,Private Sector,"Commercial Banks: For the growth phase, credit lines provided through commercial banks should be targeted. A viable option is targeting the credit lines that IFIs extend to commercial banks in Serbia. Given that commercial banks are keen to secure lower-rate credit lines from IFIs, particularly in today’s high interest rate environment, the UNDP should assist by directing eligible projects into their pipelines. The banks are especially eager to build their portfolio of green SME projects, even before they secure an agreement with IFIs. Commercial banks and IFIs have told us that banks would be especially eager for a pipeline of green projects that fit the increasing quotas on green set by IFIs, as these are expensive and risky to source without the required know-how. ",No,SRB,Serbia
NA,United Nations,"NA

",No,JOR,Jordan
Baghdad Business School,Academia,"The UNDP- Accelerator Lab in Iraq worked with Baghdad Business Schools, She Codes too, and Meta for implementing Women Bootcamp for programming initiative. This initiative aims to support women in joining the digitalization movement in Iraq and open spaces for employment opportunities in this space. The hiring Baghdad Business School aligned efforts with an international company, is called Meta,  as well as cooperate with a coding institute, is called She Codes Too,  to jointly localize a well-recognized coding course and produce free-of-charge women's boot camp for six months, incorporating both offline and online learning modality, that aim to improve programming skills necessary for women to excel in the digital space.",Yes,IRQ,Iraq
Design Ethnography Lab Bandung Institute of Technology (DE Lab ITB),Academia,"DE ITB primarily supports in designing Solutions Mapping Canvas. The solutions mapping canvas consists of a practical guide, field notes and canvas that facilitates anyone to immerse themselves in community dynamics, identify and systematically map grassroots solutions and their complexities. The canvas is expected to provide a deep understanding of the aspirations, solutions, needs, challenges, and opportunities that exist in the community. The canvas is made as simple as possible so that it can be understood and applied by various groups.

To expand the reach of using canvas in an inclusive manner, there are several strategic steps that we want to take: 

a. Design Inclusive Solutions Mapping Cards. The Solutions Mapping canvas will be redesigned and transformed into inclusive cards with contextualized, common glossaries and/or tailored to special needs. On-site consultation with communities is required to bring our Solutions Mapping cards to life efficiently and receive context-based feedback from communities.

Solutions Mapping Platform (Website). The refined tools, including the curated grassroots and social innovations, will be published on the Solutions Mapping website platform so that they can be accessed by the wider community.

Solutions Mapping Dissemination Event. Our learnings will be disseminated publicly to introduce our Solutions Mapping tools and highlight the importance of mundane and daily solutions to communities. The dissemination event aims to provide an exciting and stimulating setting for an enjoyable and worthwhile learning process about Solutions Mapping and Immersion methods.",Yes,IDN,Indonesia
Bahr Aluloom Charitable Foundation (BAF),Civil Society,"Bahr Aluloom Foundation (BAF) is a non-profit civil society organization that works to

support the role of civil society organizations working in the field of climate change and water scarcity and seeks to support in furthering solutions and increasing societal awareness towards challenges faced in Iraq.",Yes,IRQ,Iraq
- CONATEL (government entity for telecommunication).,Government (&amp;related),We are working with CONATEL to ensure the digital transformation of the public services.,Yes,HTI,Haiti
European Union,Government (&amp;related),"The EU is our main partner in this platform, helping increase legitimacy and buy-in from participants by adding their institutional support.",No,AGO,Angola
Camara Municipal de Ribeira Grande de Santiago,Government (&amp;related),"The Camara Municipal de Ribeira Grande de Santiago serves as the local governing body for Ribeira Grande de Santiago, a large municipality located on Santiago Island.

Our project was based in Cidade Velha, the capital of the municipality, which is considered one of the most promising tourism destinations on Santiago Island.

The municipality secured funds for this project through a Letter of Agreement (LOA) process, and our lab provided support during the implementation phase.

The funds received were allocated for the following purposes:

Training program, including the contracting of a firm to provide trainings in English, French, and Digital Marketing.

Acquisition of physical bus stops and a tourism kiosk, redesign of public transportation, and development of a website.

As mentioned, this project aimed to empower the community and improve the municipality's tourism information and transportation services.",No,CPV,Cape Verde
INHA University in Tashkent,Academia,IT focused University where we conducted one of our focus group interviews and further their students were part of our TeldTalks during presentation of the findings and shared their personal stories of getting into the STEM education. This university supported AccLab UNDP Uzbekistan in presenting results to the wider public.,Yes,UZB,Uzbekistan
Shabuna Ezweh,Private Sector,"They are a grassroots solution. We work with them on an experiment of the open-air exhibition on intangible cultural heritage. 

The non-profit company will measure how this exhibition would improve tourist night activities by offering a self-guided tour around the city. ",Yes,JOR,Jordan
Palestine Trade Center,Private Sector,Supported the establishment of the House of Crafts Service Company ,No,PSX,Palestine
Al Disi women cooperative,Civil Society,The Disi women cooperative is a women led cooperative focusing on restoring the heritage of the Wadi Rum and Al Disi areas. The cooperative is located in a small village south of Jordan and are working on restoring local plants in the desrt of Wadi Rum.,No,JOR,Jordan
San Felipe Neri Market &amp; Municipality of Panama,Government (&amp;related),"The San Felipe Market already sees itself as a 'Lab for circular economy', it has been one of the key allies for the development of the initiative Zero Waste Markets since early 2022.",No,PAN,Panama
Sistema Nacional de Proteccion Civil (SINAPROC),Government (&amp;related),"Technical support throughout the project, validating our process and work, accompanying during workshops and providing data. ",Yes,PAN,Panama
Incubateur KOSALA,Private Sector,"Dans le cadre de l’exécution de son Plan de travail annuel 2022, le Laboratoire d’accélération du PNUD Congo a programmé la conduite d’un cycle d’apprentissage devant aboutir à l’opérationnalisation voire la mise à l’échelle d’une première cohorte de cinq solutions locales innovantes ayant pour certaines déjà fait l’objet d’un processus d’expérimentation. Ces solutions touchent plusieurs domaines, dont l’économie circulaire, l’Agro-business et le numérique à travers les plateformes de vente en ligne des produits de première nécessité. C’est dans ce contexte que le PNUD Congo a signé un contrat avec l’Incubateur et accélérateur d’entreprises KOSALA pour l’accompagnement et l’encadrement de cinq solutions innovantes.",No,COG,Republic of the Congo
Innovita,Private Sector,Service provision was made form the partner for the surveillances and also the analysis of the collected data. The company will also present all their findings and will explain the technology and the places where we can use this technology to UNDP CO and also to Kahramanmaras Metropolitan Municipality in early January 2024.,Yes,TUR,Turkey
"National Agency for Technology Entrepreneurship and Commercialization Development, Ministry Of Science and Technology – Government 

National Innovation Center, Ministry of Planning and Investment – Government 

Center for Entrepreneurship and Innovation, Fullbright University Vietnam – Academia 

Academy of Policy and Development, Ministry of Planning and Investment – Government 

National Academy of Public Administration, Ministry of Home Affairs – Government",Government (&amp;related),"UNDP is partnering with National Agency for Technology Entrepreneurship and Commercialization Development (NATEC), National Innovation Centre (NIC), innovation specialists, Fullbright University working on public sector innovation to develop a suitable innovation playbook. Gathering different key public agencies, such as the Academy of Policy and Development, Ministry of Planning and Investment and the National Academy of Public Administration, Ministry of Home Affairs in this journey is also a way to transfer innovation knowledge and skills from UNDP to the government and connect key innovation drivers towards a common goal which is to improve innovation ecosystem in Viet Nam.  ",No,VNM,Vietnam
DASTUDY: a Cameroonian startup specialised in AI,Private Sector,We conducted the tests on the DASTUDY platform and wrote the blog together. ,Yes,CMR,Cameroon
Designated Areas for Sustainable Tourism Administration,Government (&amp;related),Implementing partner,No,THA,Thailand
Association Songtaaba pour le Developpement (ASTD),Civil Society,Nous avons signé un LVG avec cette association et les ressources financières ont été mise à sa disposition par tranche pour conduire l'expérimentation.,Yes,BFA,Burkina Faso
"Almaty Development Center, AlmaU, Sergek, AirVision, Almaty Akimat",Government (&amp;related),"We work and consult with them, yet the beneficiary will also be a university",No,KAZ,Kazakhstan
Municipal Government of Malay,Government (&amp;related),The Malay local government unit (LGU) has earmarked budget for project initiatives based on initial experiments done in the previous year. Heads LGU offices comprise the Steering Committee of the Multi-Stakeholder Group.,Yes,PHL,Philippines
Busmap Project,Civil Society,They helped us with access to frequent public transportation users. ,No,LBN,Lebanon
Tactiv Company from Australia,Private Sector,Service provision was made from the company to configure the system specifically for UNDP needs,Yes,TUR,Turkey
iSpani,Private Sector,iSpani was contracted by UNDP through procurement processes.,Yes,ZAF,South Africa
Escuela Politécnica Nacional - EPN,Academia,"EPN se unió como aliado a la iniciativa e implementará la metodología en 2024 como parte de sus actividades de prevención de violencia y bienestar estudiantil.

Botas Violeta, por su adaptabilidad a las necesidades de cada institución, es la iniciativa más eficaz para alcanzar sus objetivos por lo cual la EPN realizó una transferencia de fondos al PNUD Ecuador por 8.000 USD para acceder a la metodología. . ",No,ECU,Ecuador
University of Ghardaia,Academia,n7a,No,DZA,Algeria
Reaching U - Education Foundation,Civil Society,Impact Investors for the Social impact bond ,Yes,URY,Uruguay
Tambula,Private Sector,"N/A

",Yes,NAM,Namibia
Eastern Technical University,Academia,Signed MOU between universities and undp for the setting up of a fab lab. ,Yes,SLE,Sierra Leone
The American University in Cairo,Academia,Co-analyzing data and cowriting the knowledge report ,No,EGY,Egypt
ILO,United Nations," project is implemented by both ILO and UNDP, and they are interested in the theme 

",No,DOM,Dominican Republic
Local entrepreneurs,Private Sector,"With the AccLab's support, local entrepreneurs developed new strategies for promoting and positioning their products on internal and external markets while also communicating social impact of their businesses on development of the Chernobyl-affected districts. ",No,BLR,Belarus
Public Enterprise Landfill Drisla,Government (&amp;related),"The public enterprise Drisla is responsible for running the laboratory which  serves as an acceleration hub that brings science closer to the community of entrepreneurs and will, spark curiosity and will serve as an inspiration to a new community of entrepreneurs, young people, and civil society enthusiasts that want to pursue activities in the realm of circularity with a focus, but not limited, to bio-waste.",Yes,MKD,North Macedonia
UNICEF,United Nations,Their mandate is with Civil Registry and engaged in many of the initiatives including Mobile Justice vehicle. ,No,GNB,Guinea-Bissau
European Union,Government (&amp;related),This was a partner who was already engaging in diasporic communities of Guinea-Bissau and so it was imperative to swap experiences and bring together findings. ,No,GNB,Guinea-Bissau
Customs,Government (&amp;related),They were an integral part of this cycle because they were the main users of the public space and should be considered as the main partner maintaining the space. ,Yes,GNB,Guinea-Bissau
National Institutions [DPM for Economic Affairs and DPM for European Affairs] ; UNRCO [other UN Agencies in the country] - for the SDG Insights Report,Government (&amp;related),"To develop the SDG Insights Report, in addition to the collaboration within the country office, we also had to collaborate with our government in collecting the data for the report, as well as validating the key findings from the report with them.",No,MKD,North Macedonia
Proyecto Binacional Acción Climática Río Uruguay [Río Uruguay Binational Project on Climate Action],United Nations,"This binational project includes a 4-year action plan. “It intends to develop tools and exchange experiences of planning and management in both countries (Argentina &amp; Uruguay) to contribute to vulnerability reduction and integral risk management, by adopting a climate change adaptation approach and a gender, generation, and human rights-based perspective.” This is how we will approach local communities, and it will also contribute to scaling up actions or plans that arise from these actions. The Binational Project got involved in the first workshop on native flora.",Yes,ARG,Argentina
Harvard University,Academia,"Harvard will execute the training for the pilot and future scale-up

",Yes,BGD,Bangladesh
Local universities,Academia,"n/a

",No,COD,Democratic Republic of the Congo
Agence Nationale de la Météorologie,Government (&amp;related),Provided domain expertise with the chance to gain access to sensor data and an data analysis platform with the potential to automate the improvement of meteorological insight accuracy,Yes,TGO,Togo
Agence Nationale de la Météorologie,Government (&amp;related),They would use the collected agrometeorological data from farmers to see if it can be used to improve the accuracy insights provided to ICAT to be forwarded to farmers. They would contribute domain expertise and feedback for the solution development,Yes,TGO,Togo
Direction de l'appui à la formalisation.,Government (&amp;related),"So far, the partnership consists of identifying the key priorities of the challenges facing the formalization of the sector in Mauritania. ",No,MRT,Mauritania
UNDP PH CE Portfolio Team,United Nations,"The UNDP CE portfolio team is led the Climate Action Program Team (CAPT), which is responsible for programmatic actions from programme and project design to procurement and financial management. This includes setting up the project team and undertaking other preparatory activities ahead of the kickoff of the EU GEPP. CAPT and ALab PH (and the broader Impact Advisory Team under which the lab sits) has been in discussions on how the latter could systematize the provision of services to EU GEPP, following a model “impact advisory services agreement” that has been entered into by IAT with another project under CAPT. Engagement with the UNDP BRH (Innovation and NCE teams) will continue moving forward.",No,PHL,Philippines
Tour Operators Association of Kuakata,Private Sector,Take care of Tourism operation - take local responsibilities for this initiative.,Yes,BGD,Bangladesh
FAO,Government (&amp;related),FAO is supporting Cooperative Weza where the training is delivered.,No,AGO,Angola
District and Sub-district Hospital Authorities,Government (&amp;related),"Responsible for providing public health service and healthcare waste management as well

",No,BGD,Bangladesh
Ministry of Labour and Social Welfare,Government (&amp;related),We worked with the Ministry of Labor and Social Welfare and 108 Jobs (one of the leading employment services providers in Lao PDR) to co-design and co-create a new type of job fair.,Yes,LAO,Laos
Barbados Museum,Government (&amp;related),"Barbados Museum - &gt; Determining if Art can be used to determine the way forward are a visioning tools

",Yes,BRB,Barbados
Ministry of Tourism,Government (&amp;related),"Coordinate with relevant partners
Ensure the system is aligned with government priorities.",No,MWI,Malawi
Lilongwe City Council,Government (&amp;related),Client who will host and provide hardware for the system.,No,MWI,Malawi
Asahi Kasei Fibers Italy,Private Sector,"This is a private international organization who is financially supporting this activity.
",Yes,MLI,Mali
CECI,Civil Society,CECI helped to identify the required evidence for the gap map for women's economic empowerment. Besides it financed somme communication materials.,Yes,BOL,Bolivia
Zambia Association of Manufacturers;,Private Sector,"The Associations were able to facilitate access to their membership and participated in the CI workshop. The Zambia Revenue Authority provided information. We worked with AccLab Namibia on the design of the CI workshop and shared proof of concept on the same portfolio with partners, we continue to partner to design the cross border experiment.",No,ZMB,Zambia
Wayuu Comunity.,Academia,"Academia has been researching on soil based constructions, ancestral knowledge and have previously achieved interventions to the norm. Bringing them to the project allows us to accelerate vertical knowledge of architecture and engineering. This partner also aims to continue researching on soil constructions and the future of 3d printing for infrastructure.

",No,COL,Colombia
Ministry of Education and Science,Government (&amp;related),"The experiment of Public Goods Trust was developed with teachers and students from public schools in Natalio. To do so, the experiment was first presented to the territorial authorities of the Ministry of Education, the supervisors, and with their approval, the experiment was then presented to the school's directors and coordinated with them.  ",No,PRY,Paraguay
Commercial banks operating in Cape Verde,Private Sector,"Communication and Outreach support. Financial benefits to successful applicants. Financial Knowledge. 

",Yes,CPV,Cape Verde
Humanitarian OpenStreetMap (HOT),Civil Society,"Through a non-financial agreement (Statement of Intent) signed with HOT in 2023, we jointly co-designed and implemented several data collection tools and run workshops for increasing capacities of institutional and UNDP personnel.",Yes,GTM,Guatemala
GSMA,Private Sector,"Knowledge Partner

",Yes,SDN,Sudan
National Science and Technology Council (CONACYT),Government (&amp;related),"CONACYT serves as one of the main organizers of the Public Innovators Program, where the Acceleration Laboratory provides technical support and mentoring.",Yes,PRY,Paraguay
"Municipalities of Yaguarón, Pilar, and Mariano Roque Alonso (in Local) plus San Lorenzo and the Itapua Regional Government (in our work to develop CAE centers)",Government (&amp;related),"The first three municipalities have helped us implement each step of the program for garment workshops. Particularly relevant in the process of surveying local garment workshops and identifying key actors in the local community. Moreover, municipalities also play a role in our data governance model. Because of the sensitivity of the information, we collected in the surveys, data about each workshop is separated from addresses and contact information. The latter is the only part of the data that was handed over to municipalities. Interested parties, people or organizations, who want to get in touch with specific workshops, can then go directly to the local government for contact information, but specific characterization data remains anonymized and aggregated, even if publicly available for research purposes.

In the case of San Lorenzo and the regional Government of Itapua, their role was mainly to articulate local contacts for the two surveys of SMEs we implemented in their territory, which were finalized and socialized this year. ",No,PRY,Paraguay
"Private sector - companies in the STEM/IT field willing to share their data; HR agencies, talent hunting agencies",Private Sector,"Building partnerships with companies in the STEM/IT sector, particularly those open to sharing their data, provides crucial insights into gender dynamics and challenges within their organizations. Our collaboration with HR agencies and talent-hunting firms aims to develop strategies for effectively recruiting and retaining women in STEM careers, contributing to the creation of a more inclusive and diverse industry.",Yes,SRB,Serbia
Toktogul District's Administration,Government (&amp;related),conceptualization of the baseline assessment ,Yes,KGZ,Kyrgyzstan
Société Mauritanienne de traitement de dechet ( SMTD),Private Sector," This partner has been involved in the research part of the mapping process.
",No,MRT,Mauritania
Benue State Ministry of Agriculture,Government (&amp;related),"The Ministry provided technical expertise, lending experts in agronomy and providing logistics support for engagements in the communities. ",No,NGA,Nigeria
Toktogul district's Administration,Government (&amp;related),Local government provided facility for the Lab and supported logistics,No,KGZ,Kyrgyzstan
Osh Mayor's office,Government (&amp;related),Launch of the platform in Osh,No,KGZ,Kyrgyzstan
Department of Budget and Management (DBM),Government (&amp;related),"DBM oversees public expenditures and, related to LGUs, manages the release of local allocations from the national budget and works with DILG and other key agencies to manage the devolution process. DBM is also the ministerial point of contact for the Open Government Partnership (OGP).",No,PHL,Philippines
National Drought Management Authority (NDMA),Government (&amp;related),"Through this partnership, NDMA utilized the data generated to influence decision-making within the county steering group comprising the county government, NDMA and civil society partners working within the county to identify non-functional water infrastructure. As a result, one of the partners, World Vision, has put in an investment to repair 4 boreholes which will ultimately serve 1,920 households. ",No,KEN,Kenya
BAMBOO,Private Sector,"In 2010, the digital revolution marked the trade in the business world; in 2018, the idea of creating a company in Bolivia that trains professionals in digital transformation and helps companies optimize their processes was born.

With this concept, ""BAMBOO"" was created, a company that revolutionized the technological field and helped transform companies.

Mission

""To transform national companies with analytical, practical and cutting-edge digital tools"".

Vision: ""To empower the millions of small businesses and enterprises worldwide to earn more and waste less, using best practices in digitization and supply chains with solutions at their fingertips.""",Yes,BOL,Bolivia
"Indigenous people from the following cultures: mayan, zapotec, wixarika, and raramuri",Civil Society,A group of 12 people from indigenous peoples and communities in Mexico who have actively participated in consultations serving as representatives of their community and who have played a significant role in consultation  processess.,Yes,MEX,Mexico
SAHA,Civil Society,SAHA-collaboration for field applications,Yes,TUR,Turkey
MAJAL Berkane Local Development Company (Gov owned),Private Sector,"Our partnership with MAJAL Berkane Local Development Company has been focused on capacity building in the domain of smart city development. We have been actively involved in equipping MAJAL with the necessary skills and knowledge to effectively implement and manage smart city technologies and strategies. This collaboration has included a series of tailored training sessions, workshops, and advisory services that cover various aspects of smart urban planning, digital twin technology, and sustainable urban management practices.

Our engagement with MAJAL Berkane aims to strengthen their capabilities in driving the smart city initiatives within the region. By sharing our expertise and insights, we are assisting them in becoming a leading force in the transformation of urban spaces into smarter, more sustainable, and efficient environments. This partnership not only enhances MAJAL's internal competencies but also contributes significantly to the broader goal of advancing smart city development in the region.",Yes,MAR,Morocco
Blue Waste to Value and Kleanit Upcyclers,Private Sector,start ups to prototype the benches,No,NPL,Nepal
"Centre for Integrated Urban Development, Solid Waste Management Association Nepal",Civil Society,Local service providers and stakeholders to promote local community engagement ,No,NPL,Nepal
Indigenous communities of Kaami,Civil Society,"Kaami is an indigenous territory comprised of 19 indigenous communities in the Chaco region of Bolivia that sought to develop its life plan. Unfortunately, our initial partner, CIRABO, couldn't be a part of this journey due to some misunderstandings that prevented their participation until September in this year.",Yes,BOL,Bolivia
National universities,Academia,"We are establishing relationships with researchers working on renewable energies and open hardware. For example, to gain better knowledge about renewable energy in Argentina, we conducted an interview with a research and professor from the National University of Tierra del Fuego (UNTDF) specialized in wind energy projects.",Yes,ARG,Argentina
National Research and Innovation Agency,Government (&amp;related),"The National Research and Innovation Agency (BRIN) have been closely involved from the beginning of the project in determining its scope, framework, and design. They have also participated in workshops, discussions, and the analysis of insights.",Yes,IDN,Indonesia
Gender Equality Research Center in Fergana,Academia,Gender Equality Research Center in Fergana was involved in workshops in regions,Yes,UZB,Uzbekistan
Yayasan Generasi Hijau Indonesia,Academia,"Yayasan Generasi Hijau Indonesia released a consultant who joined this project as the Technical Expert on Climate Change. Together with the Technical Expert on Social Conflict, this consultant contributed to the climate dimension of the project.",Yes,IDN,Indonesia
"Directorate of Poverty Reduction and Community Empowerment (PKPM), National Development Planning Agency (Bappenas)",Government (&amp;related),"The PKPM Directorate, Bappenas has agreed to be our consultation partner. The team will provide oversight to the research and piloting process. They have also shared a hope to integrate relevant findings and recommendations from both the study and the upcoming pilot project into their policies. ",Yes,IDN,Indonesia
Professional researchers,Academia,"Most citizen science projects that we mapped are overseen by professional researchers. We have had contact with professional scientists from the national universities of La Plata and La Matanza. In addition, through our pilot project of citizen science in schools, we are collaborating with researchers working at the National University of Buenos Aires, and the national council of researchers (CONICET, for its Spanish acronym).",No,ARG,Argentina
Experts and San Andrés University,Academia,"Our interviews include researchers and scholars working on AI. Some belong to public institutions, such as public universities or the national body for search (CONICET, for its Spanish acronym); other work within private universities. As it happens with civil society organizations, the profile of the academic partners we are working with is diverse. We have maintained conversations with natural language specialists, philosophers, big data and statistic specialists, computer scientists, among others. We have been in touch with Dr. Carolina Aguerre and Maia Levy Daniel, both connected to the Center for Studies in Technology and Society based at the University of San Andrés; also, with Dr. Enzo Tagliazucchi and Dr. Olga Cavalli, both connected to the National University of Buenos Aires. As mentioned before, from the interviews, we are drawing insights and indicators of patterns of development of AI. 

In November of 2023, together with San Andrés University, we organized a free and open seminar on AI and development. We invited experts, practitioners, and policymakers to discuss how AI can have a positive impact on sectors such as health, justice, government and business. Challenges and risks were also discussed. ",Yes,ARG,Argentina
"Donor (there is not appropriate sector for this partner, so we selected UN)",United Nations,"Donor: ​​We've received feedback from a major donor indicating their satisfaction with the program’s transparent processes. They appreciate the competitive element, believing it ensures the most deserving projects receive funding. Additionally, they value the program's emphasis on early-stage innovations, which emphasizes projects’ needs for grants vs. other types of financing. Furthermore, the Challenge Call program spends considerable effort in precise and tailored impact measurement and estimation for projects, even if they are in early-stage (e.g., GHG emissions reductions that will materialize). We have heard that donors like such impact estimations as it helps them meet their internal targets and report on impact of their donations to other stakeholders (e.g., Switzerland reports GHG emissions reductions of their funded projects, and utilizes UNDP estimates for this reporting).",No,SRB,Serbia
Mosul Space Organization,Civil Society,"The UNDP Accelerator Lab Iraq completed the second phase of work with the Mosul Space Organization to support boosting the entrepreneurial ecosystem in the newly liberated areas through testing and scaling up an online platform “Startups Bus” to gather all the entrepreneurship ecosystem activities in one place and visualize a database of service providers in Mosul. Hence, supporting bringing different technical and business communities together in one place. Throughout the process, a collection of data from various sources was achieved and visualized on the platform. ",No,IRQ,Iraq
World Bank,Government (&amp;related),Actively participating in the Platform Sessions.,No,AGO,Angola
Palestinian chefs and food artists in Palestine and diaspora,Private Sector,"Promoted Palestinian food culture and cuisine leveraging the uniqueness of the Palestinian terroir.  Also, the food artists participated in an immersive experience in Palestine to co-create a portfolio of initiatives to support UNDP efforts for systemic changes in food value-chains and transformation toward value-based economy. ",Yes,PSX,Palestine
CEMCIT (Technological University of Panama),Academia,"Currently working on the design and development of the open-source database for the 2.0 version of the map, articulating partnerships with other CSOs and private sector actors for the governance and sustainability of the new version.",Yes,PAN,Panama
Juntas Comunales de Juan Diaz and Don Bosco,Government (&amp;related),"Supported with the logistic for workshops, including community convocation, physical spaces, spreading of information through their communication channels.",Yes,PAN,Panama
Nutty's Adventures,Private Sector,"Implementing partner. One of Thailand's leading social enterprises with extensive experience offering tourism services to PWDs travelers, including those from abroad",Yes,THA,Thailand
Compliant Association of Boracay (and private sector),Private Sector,"The Compliant Association of Boracay is the private sector representative to the Multi-Stakeholder Group. The private sector is keen on working with government and different stakeholders to ensure the continued recovery and sustainability of Boracay as a tourist destination, including opportunities to explore and raise awareness on sustainable financing.",Yes,PHL,Philippines
RBAP Foresight Network,United Nations,"Received inputs into the design of the foresight process, sensitization of team members to UNDP foresight approach and methods. 

",No,MYS,Malaysia
Organización Panamericana de la Salud - OPS,United Nations,"OPS utilizará la metodología Botas Violeta para talleres enfocados en género y prevención de la desnutrición infantil en tres comunidades de difícil acceso (Simiatug-Bolivar, Ayangue-Santa Elena, Curaray-Pastaza).",No,ECU,Ecuador
Legal and financial consultant: Guyer &amp; Grant Thornton,Private Sector,Were responsible for working on all the legal documents necessary to structure the bond and the financial design,Yes,URY,Uruguay
University of Makeni,Academia,Signed MOU between universities and undp for the setting up of a fab lab. ,Yes,SLE,Sierra Leone
Ministry of Tourism,Government (&amp;related),"not fully engaged but a key partner of UNDP 

",No,DOM,Dominican Republic
Faculty of Technology and Metallurgy,Academia,The professors from the faculty served as a generators of knowledge,Yes,MKD,North Macedonia
"GESTDOC, European Union",Government (&amp;related),This partner was spearheading digitalization in the country specifically in the justice sector and provided insights. ,No,GNB,Guinea-Bissau
Army,Government (&amp;related),They were responsible for ensuring that the space was safe for public use. ,Yes,GNB,Guinea-Bissau
